smiles,static_polarizability,static_polarizability_pred,static_polarizability_original,static_polarizability_pred_original,error,vdw_volume,refractive_index,mw
C=CC(=O)O,0.0,0.01220984,27.82067921669,5.046375437014403,0.2240761634285041,68.69955125442273,1.3393165555884978,72.06299999999999
C=CC(=O)OCC(F)(F)F,0.0050251256281407,0.03138701,30.38634631005169,6.497288173943734,0.4429465898594362,118.87365593942664,1.246263259198702,154.087
C=CC(=O)OCCCF,0.0100502512562814,0.05078774,32.95201340341338,7.965115088067508,0.6311981306497957,125.65164501932918,1.2888120622192225,132.134
C=CC(=O)OCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,0.0150753768844221,0.24532542,35.51768049677508,22.683511896599867,3.309851476598364,326.20231681114814,1.319461749356161,335.4030000000001
C=CC(=O)OCC(C)O,0.0201005025125628,0.062347926,38.08334759013677,8.839739503905305,0.5663938772783931,129.21615739849204,1.3137940510374646,130.143
C=CC(=O)OCCC(=O)O,0.0251256281407035,0.041351855,40.649014683498464,7.251211747235652,0.2038079046958172,132.83400967414016,1.245933516481481,144.126
C=CC(=O)OCC(C)C,0.0301507537688442,0.029022675,43.21468177686016,6.318406526345689,0.0133278850407757,136.08467485341447,1.2071525033704305,128.17099999999996
C=CC(=O)OCCN,0.0452261306532663,0.08154327,50.91168305694524,10.292027255400443,0.3642063345196956,115.7446252255872,1.420408349328119,115.132
C=CC(=O)OCC(O)CC,0.0552763819095477,0.1075798,56.043017243668615,12.261907743629035,0.4764988726864959,145.17540723003518,1.396564288227824,144.16999999999996
C=CC(=O)OCC(O)c1ccccc1,0.0603015075376884,0.10402997,58.608684337030304,11.993333519124905,0.3809390427766478,182.94635393536493,1.2995426154170846,192.214
C=CC(=O)OCCC(C)C,0.0653266331658291,0.11252897,61.17435143039201,12.636353701516905,0.3939558557474808,152.97956480549266,1.386725242052424,142.19799999999998
C=CC(=O)OCCCN=C=O,0.0753768844221105,0.056205582,66.30568561711539,8.375019988763006,0.1476230664808568,147.25171950606824,1.256966583339694,155.153
C=CC(=O)OCCCN,0.0804020100502512,0.07542597,68.87135271047708,9.829202527579925,0.0368892250284837,132.36724582518082,1.343410202309106,129.159
C=CC(=O)OCCCCOC=C,0.0854271356783919,0.10604247,71.43701980383877,12.145595916708608,0.1473399580121023,173.6222310072745,1.3215577561330516,170.208
C=CC(=O)OCCNCCO,0.0904522613065326,0.12533581,74.00268689720048,13.605297882322313,0.2406725562506739,158.10065630178144,1.4050342522872168,159.18499999999997
